Material,JOB_TYPE,BOARD_TYPE,METAL_CORE_TYPE,HATS_COUPON_TYPE,FAI_TYPE,FINISH_CS,SEL_PLT_CS,NEED_MICROWAVE,EXIST_VCUT,CUST_THK_MEASURE_METOD,SERIAL_NUM,CAM_LAYUP,FINISH_PS,SEL_PLT_PS,EXIST_CU_SPOT,EXIST_CU_FILL,EXIST_SILVER_PRINT,EXIST_LASER,EXIST_SUB,EXIST_IMPEDANCE,EXIST_CU_PASTE,CIRCUIT_TYPE,SAP_HS,SAP_FAMILY_GROUP,PLATED_COUNTERSINK,ETCHBACK,SUPPLY_IN_PCBS_PANEL,EXIST_DR2,SURFACE_CONTAMINATION,COCOON_DEPT_ROUT,VGROOVE_METHOD,PHASE_METHOD,STRAIN_RELIEF,ROUTING_PHASE,PEELABLE,SPEC,COPPER_TYPE_TOP,COPPER_TYPE_BOT,SPOT_TYPE,PASTE_APPLY,SILK,PASTE_TYPE,FAMILY_GROUP,CU_SPOT_SIDE,ETCH_PROTECT_CS,ETCH_PROTECT_PS,COCOON_TYPE,THICKNESS_CALC_METHOD,CUSTOMER,CUSTOMER_REV,ME_DATA_TO_C_FLSTOCKRECEIPT,ME_MTR_GROUP,ME_DATA_TO_C_ASSEMBLY,ME_DATA_TO_C_REMOVAL,PROC_CODE,SM_SIDE,SS_SIDE,CROSS_SEC_NUM,SUPPLY_IN_ARRAY,HS_VENDOR,END_USE_MATERIAL,WRAP_REQUIRMENT,GROUP_B,ALLOW_REJECTS_IN_ARRAY,IMAGE_ENG,CUSTOMER_ITEM,END_CUSTOMER,LEADING_MATERIAL,SM_COLOR_CS,SM_COLOR_PS,SS_COLOR_CS,SS_COLOR_PS,BURIED_RESISTOR_EXIST,BURIED_CAPACITOR_EXIST,CAVITY_EXIST,JOB_NON_STOCK_MATERIAL,AIR_CAVITY,JOB_LASER_TYPE,CARBON
M1A132D-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,11987,,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS,,,,,,,,,08-0559,11987,M1A132D-A,,,,,,,,,,,
M1A497A-A,,COMMERCIAL,,,,,,,,,,,,,,,,,,,,RIGID,,GLASS EPOXY,,,YES,,,,,,,,,IPC 6012 CLASS3,,,,,,,,,,,,,,,NONE,IPC 6012 CLASS3,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1A497B-A,STANDARD,MILITARY,NONE,NONE,PER AS9102 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,F,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,PARTIAL,NO,PCB,NO,NONE,NO,NA,NONE,20503201300,10341,M1A497B-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1A563B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,MIXED,MIXED,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,C,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,SASHAS,2052-32043-00,,M1A563B-A,,,,,,,,,,,
M1A617C-A,STANDARD,GENERAL,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER RAW FOIL,10316,C,NONE,MIL PRF 55110G,NONE,NONE,ABHS,PS,PS,,,,,,,,,3382-2425-520,,M1A617C-A,,,,,,,,,,,
M1A617D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10316,C,NONE,MIL PRF 55110G,NONE,NONE,ABHS,PS,PS,ALL,NO,SUBCONTRACTOR  CUSTOMER ROH,NO,IPC 6012 CLASS3,NO,NA,SASHAS,3382-2425-520,,M1A617D-A,,,,,,,,,,,
M1A618B-A,STANDARD,MILITARY,NONE,NONE,PER AS9102 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10316,C,NONE,IPC 6012 CLASS3,NONE,NONE,ABHS,CS,CS-PS,ALL,NO,SUPPLIER,NO,IPC 6012 CLASS3,NO,NA,OLEGF,3382-2465-520,,M1A618B-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1A620B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER ACCESSORY,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,,,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER RAW FOIL,10316,A,NONE,MIL PRF 55110G,NONE,NONE,ABHS,CS-PS,PS,ALL,NO,CUSTOMER,NO,NONE,NO,NA,SASHAS,3381-2455-500,,M1A620B-A,,,,,,,,,,,
M1A620C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,,,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10316,A,NONE,MIL PRF 55110G,NONE,NONE,ABHS,CS-PS,PS,ALL,NO,SUBCONTRACTOR  CUSTOMER ROH,NO,IPC 6012 CLASS3,NO,NA,HERZELE,3381-2455-500,,M1A620C-A,,,,,,,,,,,
M1A621C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100,HAL,NONE,NO,NO,OVER MASK ON ACCESSORY,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,,,NONE,NONE,NONE,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON ACCESSORY,10316,B,NONE,IPC 6012 CLASS3,NONE,NONE,ABHS,NONE,NONE,,,,,,,,,3382-2415-520,,M1A621C-A,,,,,,,,,,,
